store_id,day,start_time_local,end_time_local
1481966498820150000    ,4,0.00.00,0.10.00
1481966498820150000    ,2,0.00.00,0.10.00
1481966498820150000    ,0,0.00.00,0.10.00
1481966498820150000    ,1,0.00.00,0.10.00
1481966498820150000    ,5,0.00.00,0.10.00
1481966498820150000    ,3,0.00.00,0.10.00
1481966498820150000    ,6,0.00.00,0.10.00
579100056021594000    ,5,0.00.00,0.10.00
579100056021594000    ,1,0.00.00,0.10.00
579100056021594000    ,3,0.00.00,0.10.00
579100056021594000    ,4,0.00.00,0.10.00
579100056021594000    ,2,0.00.00,0.10.00
579100056021594000    ,0,0.00.00,0.10.00
579100056021594000    ,6,0.00.00,0.10.00
4573651495882510000    ,6,0.00.00,0.10.00
4573651495882510000    ,5,0.00.00,0.10.00
4573651495882510000    ,2,0.00.00,0.10.00
4573651495882510000    ,3,0.00.00,0.10.00
4573651495882510000    ,0,0.00.00,0.10.00
4573651495882510000    ,1,0.00.00,0.10.00
4573651495882510000    ,4,0.00.00,0.10.00
5125947543803220000    ,4,0.00.00,0.10.00
5125947543803220000    ,2,0.00.00,0.10.00
5125947543803220000    ,0,0.00.00,0.10.00
5125947543803220000    ,1,0.00.00,0.10.00
5125947543803220000    ,3,0.00.00,0.10.00
5125947543803220000    ,6,0.00.00,0.10.00
5125947543803220000    ,5,0.00.00,0.10.00
8737584666926490000    ,2,0.00.00,0.10.00
8737584666926490000    ,3,0.00.00,0.10.00
8737584666926490000    ,0,0.00.00,0.10.00
8737584666926490000    ,5,0.00.00,0.10.00
8737584666926490000    ,6,0.00.00,0.10.00
8737584666926490000    ,4,0.00.00,0.10.00
8737584666926490000    ,1,0.00.00,0.10.00
2629214850687680000    ,5,0.00.00,0.10.00
2629214850687680000    ,2,0.00.00,0.10.00
2629214850687680000    ,4,0.00.00,0.10.00
2629214850687680000    ,1,0.00.00,0.10.00
2629214850687680000    ,6,0.00.00,0.10.00
2629214850687680000    ,3,0.00.00,0.10.00
2629214850687680000    ,0,0.00.00,0.10.00
3174362223001910000    ,0,0.00.00,0.10.00
3174362223001910000    ,3,0.00.00,0.10.00
3174362223001910000    ,1,0.00.00,0.10.00
3174362223001910000    ,4,0.00.00,0.10.00
3174362223001910000    ,5,0.00.00,0.10.00
3174362223001910000    ,6,0.00.00,0.10.00
3174362223001910000    ,2,0.00.00,0.10.00
4392930856738600000    ,6,0.00.00,0.10.00
4392930856738600000    ,0,0.00.00,0.10.00
4392930856738600000    ,3,0.00.00,0.10.00
4392930856738600000    ,2,0.00.00,0.10.00
4392930856738600000    ,5,0.00.00,0.10.00
4392930856738600000    ,4,0.00.00,0.10.00
4392930856738600000    ,1,0.00.00,0.10.00
6091506400240400000    ,2,0.00.00,0.10.00
6091506400240400000    ,3,0.00.00,0.10.00
6091506400240400000    ,0,0.00.00,0.10.00
6091506400240400000    ,4,0.00.00,0.10.00
6091506400240400000    ,6,0.00.00,0.10.00
6091506400240400000    ,1,0.00.00,0.10.00
6091506400240400000    ,5,0.00.00,0.10.00
6630839090709100000    ,3,0.00.00,0.10.00
6630839090709100000    ,0,0.00.00,0.10.00
6630839090709100000    ,2,0.00.00,0.10.00
6630839090709100000    ,4,0.00.00,0.10.00
6630839090709100000    ,5,0.00.00,0.10.00
6630839090709100000    ,6,0.00.00,0.10.00
6630839090709100000    ,1,0.00.00,0.10.00
3638987518162250000    ,1,0.00.00,0.10.00
3638987518162250000    ,0,0.00.00,0.10.00
3638987518162250000    ,5,0.00.00,0.10.00
3638987518162250000    ,2,0.00.00,0.10.00
3638987518162250000    ,6,0.00.00,0.10.00
3638987518162250000    ,4,0.00.00,0.10.00
3638987518162250000    ,3,0.00.00,0.10.00
2515627945516210000    ,0,0.00.00,0.10.00
2515627945516210000    ,2,0.00.00,0.10.00
2515627945516210000    ,3,0.00.00,0.10.00
2515627945516210000    ,5,0.00.00,0.10.00
2515627945516210000    ,4,0.00.00,0.10.00
2515627945516210000    ,6,0.00.00,0.10.00
7988087393647330000    ,5,0.00.00,0.15.00
7988087393647330000    ,6,0.00.00,0.15.00
7776801514628450000    ,1,0.00.00,0.15.00
7776801514628450000    ,5,0.00.00,0.15.00
7776801514628450000    ,2,0.00.00,0.15.00
7776801514628450000    ,3,0.00.00,0.15.00
7776801514628450000    ,4,0.00.00,0.15.00
5339221772537980000    ,0,0.00.00,0.15.00
5339221772537980000    ,4,0.00.00,0.15.00
5339221772537980000    ,3,0.00.00,0.15.00
5339221772537980000    ,2,0.00.00,0.15.00
1426925701648880000    ,5,0.00.00,0.15.00
1426925701648880000    ,6,0.00.00,0.15.00
1934295012681370000    ,6,0.00.00,0.15.00
1934295012681370000    ,5,0.00.00,0.15.00
9209848539305890000    ,6,0.00.00,0.15.00
